VALUE,BPS_CODE,BPS_NAME,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,R,G,B,RED,GREEN,BLUE
815,10460,Northern Rocky Mountain Subalpine Woodland and Parkland,19,81,-9999,255,170,0,1,0.666667,0
816,10531,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Mesic,6,18,76,168,85,0,0.658824,0.333333,0
817,10532,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Xeric,18,47,35,168,120,0,0.658824,0.470588,0
818,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,78,22,-9999,56,168,0,0.219608,0.658824,0
819,10580,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,88,-9999,12,127,234,0,0.498039,0.917647,0
820,10600,East Cascades Oak-Ponderosa Pine Forest and Woodland,7,4,89,205,102,102,0.803922,0.4,0.4
821,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,32,36,32,191,19,230,0.74902,0.07451,0.901961
822,10630,North Pacific Broadleaf Landslide Forest and Shrubland,83,17,-9999,255,247,163,1,0.968627,0.639216
823,10680,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,-9999,-9999,-9999,20,125,125,0.078431,0.490196,0.490196
824,10800,Inter-Mountain Basins Big Sagebrush Shrubland,100,-9999,-9999,255,190,232,1,0.745098,0.909804
825,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,100,-9999,-9999,245,202,122,0.960784,0.792157,0.478431
826,10970,California Mesic Chaparral,100,-9999,-9999,200,190,85,0.784314,0.745098,0.333333
827,10980,California Montane Woodland and Chaparral,68,17,15,210,170,50,0.823529,0.666667,0.196078
828,11030,Great Basin Semi-Desert Chaparral,100,-9999,-9999,174,250,255,0.682353,0.980392,1
829,11050,Northern and Central California Dry-Mesic Chaparral,100,-9999,-9999,245,246,175,0.960784,0.964706,0.686275
830,11140,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,7,2,91,179,255,232,0.701961,1,0.909804
831,11200,Willamette Valley Upland Prairie and Savanna,4,19,77,215,215,158,0.843137,0.843137,0.619608
832,11230,Columbia Plateau Steppe and Grassland,100,-9999,-9999,235,218,234,0.921569,0.854902,0.917647
833,11240,Columbia Plateau Low Sagebrush Steppe,100,-9999,-9999,132,140,173,0.517647,0.54902,0.678431
834,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
835,11260,Inter-Mountain Basins Montane Sagebrush Steppe,100,-9999,-9999,230,0,169,0.901961,0,0.662745
836,11270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,100,-9999,-9999,194,158,215,0.760784,0.619608,0.843137
837,11350,Inter-Mountain Basins Semi-Desert Grassland,100,-9999,-9999,185,174,211,0.72549,0.682353,0.827451
838,11520,California Montane Riparian Systems,55,45,-9999,65,150,167,0.254902,0.588235,0.654902
839,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
840,11540,Inter-Mountain Basins Montane Riparian Systems,100,-9999,-9999,154,156,117,0.603922,0.611765,0.458824
841,11560,North Pacific Lowland Riparian Forest and Shrubland,100,-9999,-9999,177,179,125,0.694118,0.701961,0.490196
842,11581,North Pacific Montane Riparian Woodland and Shrubland-Wet,46,54,-9999,188,207,212,0.737255,0.811765,0.831373
843,11582,North Pacific Montane Riparian Woodland and Shrubland-Dry,33,67,-9999,172,194,193,0.67451,0.760784,0.756863
844,11650,Northern Rocky Mountain Foothill Conifer Wooded Steppe,43,14,43,255,120,0,1,0.470588,0
845,11670,Rocky Mountain Poor-Site Lodgepole Pine Forest,50,50,-9999,85,255,0,0.333333,1,0
846,11700,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,7,-9999,93,210,235,0,0.823529,0.921569,0
847,11710,North Pacific Alpine and Subalpine Dry Grassland,100,-9999,-9999,167,195,167,0.654902,0.764706,0.654902
848,11720,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,12,36,52,230,255,230,0.901961,1,0.901961
849,11730,North Pacific Wooded Volcanic Flowage,100,-9999,-9999,245,186,157,0.960784,0.729412,0.615686
850,11740,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,48,52,-9999,217,189,252,0.85098,0.741176,0.988235
851,11780,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,-9999,-9999,-9999,215,176,158,0.843137,0.690196,0.619608
852,10070,Western Great Plains Sparsely Vegetated Systems,-9999,-9999,-9999,255,235,190,1,0.921569,0.745098
853,10110,Rocky Mountain Aspen Forest and Woodland,83,17,-9999,255,255,115,1,1,0.45098
854,10451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,13,40,47,200,209,255,0.784314,0.819608,1
855,10454,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Lodgepole Pine,52,28,20,143,204,177,0.560784,0.8,0.694118
856,10460,Northern Rocky Mountain Subalpine Woodland and Parkland,46,54,-9999,255,170,0,1,0.666667,0
857,10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,100,-9999,-9999,102,205,171,0.4,0.803922,0.670588
858,10540,Southern Rocky Mountain Ponderosa Pine Woodland,6,18,76,168,56,0,0.658824,0.219608,0
859,10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,74,26,-9999,211,255,190,0.827451,1,0.745098
860,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,93,7,-9999,56,168,0,0.219608,0.658824,0
861,10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,46,54,-9999,230,230,0,0.901961,0.901961,0
862,10850,Northwestern Great Plains Shrubland,100,-9999,-9999,168,0,132,0.658824,0,0.517647
863,11060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,100,-9999,-9999,137,68,80,0.537255,0.266667,0.313725
864,11170,Southern Rocky Mountain Ponderosa Pine Savanna,4,18,78,255,85,0,1,0.333333,0
865,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
866,11260,Inter-Mountain Basins Montane Sagebrush Steppe,100,-9999,-9999,230,0,169,0.901961,0,0.662745
867,11390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,100,-9999,-9999,171,205,102,0.670588,0.803922,0.4
868,11400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,100,-9999,-9999,167,205,195,0.654902,0.803922,0.764706
869,11410,Northwestern Great Plains Mixedgrass Prairie,100,-9999,-9999,215,255,232,0.843137,1,0.909804
870,11450,Rocky Mountain Subalpine-Montane Mesic Meadow,100,-9999,-9999,0,197,255,0,0.772549,1
871,11480,Western Great Plains Sand Prairie,100,-9999,-9999,245,218,169,0.960784,0.854902,0.662745
872,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
873,11590,Rocky Mountain Montane Riparian Systems,53,47,-9999,123,124,93,0.482353,0.486275,0.364706
874,11600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,50,50,-9999,49,165,167,0.192157,0.647059,0.654902
875,11620,Western Great Plains Floodplain Systems,54,23,23,102,153,205,0.4,0.6,0.803922
876,13850,Western Great Plains Wooded Draw and Ravine,39,38,23,168,168,0,0.658824,0.658824,0
877,14950,Western Great Plains Depressional Wetland Systems,100,-9999,-9999,104,0,156,0.407843,0,0.611765
878,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
879,10110,Rocky Mountain Aspen Forest and Woodland,100,-9999,-9999,255,255,115,1,1,0.45098
880,10160,Colorado Plateau Pinyon-Juniper Woodland,31,65,4,205,170,102,0.803922,0.666667,0.4
881,10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,100,-9999,-9999,102,205,171,0.4,0.803922,0.670588
882,10500,Rocky Mountain Lodgepole Pine Forest,100,-9999,-9999,128,251,26,0.501961,0.984314,0.101961
883,10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,12,14,74,190,210,255,0.745098,0.823529,1
884,10540,Southern Rocky Mountain Ponderosa Pine Woodland,8,26,66,168,56,0,0.658824,0.219608,0
885,10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,100,-9999,-9999,211,255,190,0.827451,1,0.745098
886,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,67,33,-9999,56,168,0,0.219608,0.658824,0
887,10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,37,40,23,230,230,0,0.901961,0.901961,0
888,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,25,75,-9999,191,19,230,0.74902,0.07451,0.901961
889,10660,Inter-Mountain Basins Mat Saltbush Shrubland,-9999,-9999,-9999,11,190,127,0.043137,0.745098,0.498039
890,10720,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,100,-9999,-9999,132,140,200,0.517647,0.54902,0.784314
891,10801,Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush,100,-9999,-9999,255,190,232,1,0.745098,0.909804
892,10802,Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,100,-9999,-9999,255,163,180,1,0.639216,0.705882
893,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,100,-9999,-9999,245,202,122,0.960784,0.792157,0.478431
894,10861,Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany,100,-9999,-9999,137,68,101,0.537255,0.266667,0.396078
895,10862,Rocky Mountain Lower Montane-Foothill Shrubland-True Mountain Mahogany,100,-9999,-9999,137,25,135,0.537255,0.098039,0.529412
896,11060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,83,17,-9999,137,68,80,0.537255,0.266667,0.313725
897,11150,Inter-Mountain Basins Juniper Savanna,18,30,52,137,112,68,0.537255,0.439216,0.266667
898,11260,Inter-Mountain Basins Montane Sagebrush Steppe,100,-9999,-9999,230,0,169,0.901961,0,0.662745
899,11270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,100,-9999,-9999,194,158,215,0.760784,0.619608,0.843137
900,11350,Inter-Mountain Basins Semi-Desert Grassland,100,-9999,-9999,185,174,211,0.72549,0.682353,0.827451
901,11390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,100,-9999,-9999,171,205,102,0.670588,0.803922,0.4
903,11450,Rocky Mountain Subalpine-Montane Mesic Meadow,80,20,-9999,0,197,255,0,0.772549,1
904,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
905,11590,Rocky Mountain Montane Riparian Systems,23,-9999,77,123,124,93,0.482353,0.486275,0.364706
906,11620,Western Great Plains Floodplain Systems,18,82,-9999,102,153,205,0.4,0.6,0.803922
907,11660,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,16,60,24,214,112,0,0.839216,0.439216,0
908,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
909,10020,Mediterranean California Sparsely Vegetated Systems,-9999,-9999,-9999,255,245,215,1,0.960784,0.843137
910,10140,Central and Southern California Mixed Evergreen Woodland,3,22,75,119,171,87,0.466667,0.670588,0.341176
911,10270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,7,31,62,158,187,215,0.619608,0.733333,0.843137
912,10290,Mediterranean California Mixed Oak Woodland,3,25,72,220,100,100,0.862745,0.392157,0.392157
913,10300,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,6,27,67,180,80,145,0.705882,0.313725,0.568627
914,10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,6,11,83,167,70,0,0.654902,0.27451,0
915,10430,Mediterranean California Mixed Evergreen Forest,3,14,83,164,196,143,0.643137,0.768627,0.560784
916,10880,Sonora-Mojave Mixed Salt Desert Scrub,-9999,-9999,-9999,245,222,110,0.960784,0.870588,0.431373
917,10970,California Mesic Chaparral,100,-9999,-9999,200,190,85,0.784314,0.745098,0.333333
918,11050,Northern and Central California Dry-Mesic Chaparral,100,-9999,-9999,245,246,175,0.960784,0.964706,0.686275
919,11080,Sonora-Mojave Semi-Desert Chaparral,100,-9999,-9999,255,197,173,1,0.772549,0.678431
920,11120,California Central Valley Mixed Oak Savanna,6,12,82,230,130,130,0.901961,0.509804,0.509804
921,11140,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,9,8,83,179,255,232,0.701961,1,0.909804
922,11290,California Central Valley and Southern Coastal Grassland,100,-9999,-9999,163,255,115,0.639216,1,0.45098
923,11380,North Pacific Montane Grassland,100,-9999,-9999,199,230,158,0.780392,0.901961,0.619608
924,11510,California Central Valley Riparian Woodland and Shrubland,-9999,-9999,-9999,62,171,215,0.243137,0.670588,0.843137
925,11520,California Montane Riparian Systems,43,57,-9999,65,150,167,0.254902,0.588235,0.654902
926,11630,Pacific Coastal Marsh Systems,69,31,-9999,68,79,125,0.266667,0.309804,0.490196
927,10040,North American Warm Desert Sparsely Vegetated Systems,-9999,-9999,-9999,255,242,189,1,0.94902,0.741176
928,10140,Central and Southern California Mixed Evergreen Woodland,3,22,75,119,171,87,0.466667,0.670588,0.341176
929,10150,California Coastal Redwood Forest,7,-9999,93,168,0,0,0.658824,0,0
930,10190,Great Basin Pinyon-Juniper Woodland,32,43,25,115,76,0,0.45098,0.298039,0
931,10270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,7,31,62,158,187,215,0.619608,0.733333,0.843137
932,10280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,12,37,51,84,98,168,0.329412,0.384314,0.658824
933,10290,Mediterranean California Mixed Oak Woodland,3,25,72,220,100,100,0.862745,0.392157,0.392157
934,10300,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,6,27,67,180,80,145,0.705882,0.313725,0.568627
935,10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,6,11,83,167,70,0,0.654902,0.27451,0
936,10340,Mediterranean California Mesic Serpentine Woodland and Chaparral,37,63,-9999,115,0,76,0.45098,0,0.298039
937,10580,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,18,48,34,127,234,0,0.498039,0.917647,0
938,10820,Mojave Mid-Elevation Mixed Desert Scrub,100,-9999,-9999,216,6,73,0.847059,0.023529,0.286275
939,10870,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,100,-9999,-9999,52,154,184,0.203922,0.603922,0.721569
940,10880,Sonora-Mojave Mixed Salt Desert Scrub,-9999,-9999,-9999,245,222,110,0.960784,0.870588,0.431373
941,10920,Southern California Coastal Scrub,100,-9999,-9999,158,215,194,0.619608,0.843137,0.760784
942,10960,California Maritime Chaparral,100,-9999,-9999,200,170,140,0.784314,0.666667,0.54902
943,10970,California Mesic Chaparral,100,-9999,-9999,200,190,85,0.784314,0.745098,0.333333
944,10980,California Montane Woodland and Chaparral,68,32,-9999,210,170,50,0.823529,0.666667,0.196078
945,10990,California Xeric Serpentine Chaparral,100,-9999,-9999,172,105,205,0.67451,0.411765,0.803922
946,11050,Northern and Central California Dry-Mesic Chaparral,100,-9999,-9999,245,246,175,0.960784,0.964706,0.686275
947,11080,Sonora-Mojave Semi-Desert Chaparral,100,-9999,-9999,255,197,173,1,0.772549,0.678431
948,11090,Sonoran Paloverde-Mixed Cacti Desert Scrub,100,-9999,-9999,233,214,245,0.913725,0.839216,0.960784
949,11100,Southern California Dry-Mesic Chaparral,100,-9999,-9999,226,245,174,0.886275,0.960784,0.682353
950,11120,California Central Valley Mixed Oak Savanna,6,12,82,230,130,130,0.901961,0.509804,0.509804
951,11130,California Coastal Live Oak Woodland and Savanna,8,42,50,68,145,112,0.266667,0.568627,0.439216
952,11140,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,9,8,83,179,255,232,0.701961,1,0.909804
953,11180,Southern California Oak Woodland and Savanna,9,37,54,68,160,130,0.266667,0.627451,0.509804
954,11280,Northern California Coastal Scrub,100,-9999,-9999,148,194,168,0.580392,0.760784,0.658824
955,11290,California Central Valley and Southern Coastal Grassland,100,-9999,-9999,163,255,115,0.639216,1,0.45098
956,11300,California Mesic Serpentine Grassland,100,-9999,-9999,205,188,214,0.803922,0.737255,0.839216
957,11310,California Northern Coastal Grassland,100,-9999,-9999,237,240,216,0.929412,0.941176,0.847059
958,11510,California Central Valley Riparian Woodland and Shrubland,-9999,-9999,-9999,62,171,215,0.243137,0.670588,0.843137
959,11520,California Montane Riparian Systems,43,57,-9999,65,150,167,0.254902,0.588235,0.654902
960,11550,North American Warm Desert Riparian Systems,3,97,-9999,123,160,117,0.482353,0.627451,0.458824
961,11630,Pacific Coastal Marsh Systems,69,31,-9999,68,79,125,0.266667,0.309804,0.490196
962,11770,California Coastal Closed-Cone Conifer Forest and Woodland,90,10,-9999,237,207,0,0.929412,0.811765,0
963,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
964,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
965,10110,Rocky Mountain Aspen Forest and Woodland,46,54,-9999,255,255,115,1,1,0.45098
966,10120,Rocky Mountain Bigtooth Maple Ravine Woodland,38,62,-9999,255,211,127,1,0.827451,0.498039
967,10160,Colorado Plateau Pinyon-Juniper Woodland,29,65,6,205,170,102,0.803922,0.666667,0.4
968,10190,Great Basin Pinyon-Juniper Woodland,51,49,-9999,115,76,0,0.45098,0.298039,0
969,10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,100,-9999,-9999,102,205,171,0.4,0.803922,0.670588
970,10500,Rocky Mountain Lodgepole Pine Forest,81,-9999,19,128,251,26,0.501961,0.984314,0.101961
971,10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,12,14,74,190,210,255,0.745098,0.823529,1
972,10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,19,37,44,115,149,230,0.45098,0.584314,0.901961
973,10540,Southern Rocky Mountain Ponderosa Pine Woodland,6,8,86,168,56,0,0.658824,0.219608,0
974,10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,97,3,-9999,211,255,190,0.827451,1,0.745098
975,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,97,3,-9999,56,168,0,0.219608,0.658824,0
976,10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,28,-9999,72,227,223,162,0.890196,0.87451,0.635294
977,10611,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation,24,76,-9999,230,230,0,0.901961,0.901961,0
978,10612,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation,46,54,-9999,200,230,0,0.784314,0.901961,0
979,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,26,46,28,191,19,230,0.74902,0.07451,0.901961
980,10640,Colorado Plateau Mixed Low Sagebrush Shrubland,33,67,-9999,158,170,215,0.619608,0.666667,0.843137
981,10700,Rocky Mountain Alpine Dwarf-Shrubland,100,-9999,-9999,19,118,92,0.07451,0.462745,0.360784
982,10780,Colorado Plateau Blackbrush-Mormon-tea Shrubland,53,47,-9999,52,155,207,0.203922,0.607843,0.811765
983,10790,Great Basin Xeric Mixed Sagebrush Shrubland,90,10,-9999,57,194,207,0.223529,0.760784,0.811765
985,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,100,-9999,-9999,245,202,122,0.960784,0.792157,0.478431
986,10860,Rocky Mountain Lower Montane-Foothill Shrubland,21,79,-9999,137,68,101,0.537255,0.266667,0.396078
987,10930,Southern Colorado Plateau Sand Shrubland,100,-9999,-9999,134,219,24,0.52549,0.858824,0.094118
988,11020,Colorado Plateau Pinyon-Juniper Shrubland,20,29,51,255,0,0,1,0,0
989,11030,Great Basin Semi-Desert Chaparral,100,-9999,-9999,174,250,255,0.682353,0.980392,1
990,11071,Rocky Mountain Gambel Oak-Mixed Montane Shrubland -Continuous,74,26,-9999,115,255,223,0.45098,1,0.87451
991,11072,Rocky Mountain Gambel Oak-Mixed Montane Shrubland-Patchy,25,75,-9999,102,205,171,0.4,0.803922,0.670588
992,11150,Inter-Mountain Basins Juniper Savanna,20,29,51,137,112,68,0.537255,0.439216,0.266667
993,11170,Southern Rocky Mountain Ponderosa Pine Savanna,5,10,85,255,85,0,1,0.333333,0
994,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
995,11261,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,100,-9999,-9999,230,0,169,0.901961,0,0.662745
996,11262,Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush,100,-9999,-9999,255,197,191,1,0.772549,0.74902
997,11270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,100,-9999,-9999,194,158,215,0.760784,0.619608,0.843137
998,11350,Inter-Mountain Basins Semi-Desert Grassland,100,-9999,-9999,185,174,211,0.72549,0.682353,0.827451
999,11440,Rocky Mountain Alpine Turf,100,-9999,-9999,93,43,29,0.364706,0.168627,0.113725
1000,11450,Rocky Mountain Subalpine-Montane Mesic Meadow,80,20,-9999,0,197,255,0,0.772549,1
1001,11460,Southern Rocky Mountain Montane-Subalpine Grassland,52,-9999,48,167,205,178,0.654902,0.803922,0.698039
1002,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
1003,11540,Inter-Mountain Basins Montane Riparian Systems,100,-9999,-9999,154,156,117,0.603922,0.611765,0.458824
1004,11590,Rocky Mountain Montane Riparian Systems,23,-9999,77,123,124,93,0.482353,0.486275,0.364706
1005,11600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,23,-9999,77,49,165,167,0.192157,0.647059,0.654902
1006,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
1007,10040,North American Warm Desert Sparsely Vegetated Systems,-9999,-9999,-9999,255,242,189,1,0.94902,0.741176
1008,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
1009,10110,Rocky Mountain Aspen Forest and Woodland,46,54,-9999,255,255,115,1,1,0.45098
1010,10160,Colorado Plateau Pinyon-Juniper Woodland,29,65,6,205,170,102,0.803922,0.666667,0.4
1011,10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,100,-9999,-9999,102,205,171,0.4,0.803922,0.670588
1012,10500,Rocky Mountain Lodgepole Pine Forest,81,-9999,19,128,251,26,0.501961,0.984314,0.101961
1013,10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,12,14,74,190,210,255,0.745098,0.823529,1
1014,10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,19,37,44,115,149,230,0.45098,0.584314,0.901961
1015,10540,Southern Rocky Mountain Ponderosa Pine Woodland,6,8,86,168,56,0,0.658824,0.219608,0
1016,10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,97,3,-9999,211,255,190,0.827451,1,0.745098
1017,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,97,3,-9999,56,168,0,0.219608,0.658824,0
1018,10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,29,-9999,71,227,223,162,0.890196,0.87451,0.635294
1019,10611,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation,24,76,-9999,230,230,0,0.901961,0.901961,0
1020,10612,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation,46,54,-9999,200,230,0,0.784314,0.901961,0
1021,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,26,46,28,191,19,230,0.74902,0.07451,0.901961
1022,10640,Colorado Plateau Mixed Low Sagebrush Shrubland,33,67,-9999,158,170,215,0.619608,0.666667,0.843137
1023,10660,Inter-Mountain Basins Mat Saltbush Shrubland,-9999,-9999,-9999,11,190,127,0.043137,0.745098,0.498039
1024,10780,Colorado Plateau Blackbrush-Mormon-tea Shrubland,53,47,-9999,52,155,207,0.203922,0.607843,0.811765
1026,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,100,-9999,-9999,245,202,122,0.960784,0.792157,0.478431
1027,10820,Mojave Mid-Elevation Mixed Desert Scrub,100,-9999,-9999,216,6,73,0.847059,0.023529,0.286275
1028,10860,Rocky Mountain Lower Montane-Foothill Shrubland,21,79,-9999,137,68,101,0.537255,0.266667,0.396078
1029,10930,Southern Colorado Plateau Sand Shrubland,100,-9999,-9999,134,219,24,0.52549,0.858824,0.094118
1030,11020,Colorado Plateau Pinyon-Juniper Shrubland,20,29,51,255,0,0,1,0,0
1031,11030,Great Basin Semi-Desert Chaparral,100,-9999,-9999,174,250,255,0.682353,0.980392,1
1032,11040,Mogollon Chaparral,89,11,-9999,173,250,211,0.678431,0.980392,0.827451
1033,11070,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,74,26,-9999,115,255,223,0.45098,1,0.87451
1034,11150,Inter-Mountain Basins Juniper Savanna,20,29,51,137,112,68,0.537255,0.439216,0.266667
1035,11170,Southern Rocky Mountain Ponderosa Pine Savanna,5,10,85,255,85,0,1,0.333333,0
1036,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
1037,11261,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,100,-9999,-9999,230,0,169,0.901961,0,0.662745
1038,11262,Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush,100,-9999,-9999,255,197,191,1,0.772549,0.74902
1039,11270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,100,-9999,-9999,194,158,215,0.760784,0.619608,0.843137
1040,11350,Inter-Mountain Basins Semi-Desert Grassland,100,-9999,-9999,185,174,211,0.72549,0.682353,0.827451
1041,11460,Southern Rocky Mountain Montane-Subalpine Grassland,52,-9999,48,167,205,178,0.654902,0.803922,0.698039
1042,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
1043,11590,Rocky Mountain Montane Riparian Systems,23,-9999,77,123,124,93,0.482353,0.486275,0.364706
1044,11600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,22,-9999,78,49,165,167,0.192157,0.647059,0.654902
1045,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
1046,10040,North American Warm Desert Sparsely Vegetated Systems,-9999,-9999,-9999,255,242,189,1,0.94902,0.741176
1047,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
1048,10110,Rocky Mountain Aspen Forest and Woodland,46,54,-9999,255,255,115,1,1,0.45098
1049,10170,Columbia Plateau Western Juniper Woodland and Savanna,38,62,-9999,14,245,98,0.054902,0.960784,0.384314
1050,10190,Great Basin Pinyon-Juniper Woodland,51,49,-9999,115,76,0,0.45098,0.298039,0
1051,10200,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,29,-9999,71,14,46,57,0.054902,0.180392,0.223529
1054,10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,6,11,83,167,70,0,0.654902,0.27451,0
1055,10330,Mediterranean California Subalpine Woodland,18,82,-9999,226,194,162,0.886275,0.760784,0.635294
